Aprobar,AprobarImp,CodModo,CodMon,CodMot,CodPag,CodSerie,CodSunat,DesCli,DesDoc,DesMon,DesMot,Documento,DsctoSug,Estado,EstadoSunat,FactorSug,Factura,FecDoc,IdCliente,IdGuia,IdLocacion,IdSerieDoc,IdSugerido,NumCot,NumDoc,NumFac,NumJob,NumOrden,ObservacionSunat,TieneNotas,TipMov,TotNeto,TotNetoSug
False,False,01,US,9,,T001,09,EQUIMAP AMAZONICA S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-1,,IM,ACEPTADO,,False,2019-04-10T00:00:00,56751,137163,72,296,0,,1,,,,"El Comprobante  numero T001-1, ha sido aceptado",False,D,2.95,0.0
True,True,01,US,1,04,T010,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Venta,T010-1,,FC,ACEPTADO,,True,2020-12-17T00:00:00,56918,149494,83,375,0,,1,F/ F010-1,,,"El Comprobante  numero T010-1, ha sido aceptado",False,D,147.22,0.0
False,False,01,US,8,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T001-1,,IM,ACEPTADO,,False,2021-08-02T00:00:00,57450,152262,81,373,0,,1,,,,"El Comprobante  numero T001-1, ha sido aceptado",False,O,0.0,0.0
True,True,02,NS,1,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL S.A.C.,Guia de Remisión,SOLES        ,Venta,T001-1,,FC,ACEPTADO,,True,2024-04-15T00:00:00,57550,154546,87,1,0,,1,F/ F001-171,,,"El Comprobante  numero T001-1, ha sido aceptado",True,D,826.0,0.0
True,True,02,NS,1,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL S.A.C.,Guia de Remisión,SOLES        ,Venta,T001-2,,FC,ACEPTADO,,True,2024-10-21T00:00:00,57550,155126,87,1,0,,2,F/ F001-244,,,"El Comprobante  numero T001-2, ha sido aceptado",True,D,708.0,0.0
False,False,01,US,8,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T001-2,,IM,ACEPTADO,,False,2021-08-02T00:00:00,57450,152274,81,373,0,,2,,,,"El Comprobante  numero T001-2, ha sido aceptado",False,O,0.0,0.0
True,True,01,US,1,00,T010,09,EMPRESA PESQUERA ANOR SAC,Guia de Remisión,DOLARES USA         ,Venta,T010-2,,AN,,,True,2021-01-07T00:00:00,57331,149753,83,375,0,,2,,,,,False,D,0.0,0.0
False,False,01,US,9,,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C,Guia de Remisión,DOLARES USA         ,Otros,T001-2,,IM,ACEPTADO,,False,2019-01-16T00:00:00,56574,135044,30,274,0,,2,,,,"El Comprobante  numero T001-2, ha sido aceptado",False,D,0.0,0.0
True,True,02,US,1,01,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2,,FC,ACEPTADO,,True,2019-08-19T00:00:00,56819,140249,73,296,0,,2,F/ F001-22,,,"El Comprobante  numero T001-2, ha sido aceptado",True,D,47746.03,0.0
True,True,02,US,1,01,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-3,,FC,ACEPTADO,,True,2019-08-19T00:00:00,56819,140250,73,296,0,,3,F/ F001-23,,,"El Comprobante  numero T001-3, ha sido aceptado",True,D,40486.85,0.0
True,True,02,NS,1,04,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-3,,FC,ACEPTADO,,True,2019-02-20T00:00:00,56554,135980,30,274,0,,3,F/ F001-30,,,"El Comprobante  numero T001-3, ha sido aceptado",True,D,33091.2,0.0
False,False,02,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-3,,TR,ACEPTADO,,False,2021-01-08T00:00:00,56856,149765,83,375,0,,3,,,,"El Comprobante  numero T010-3, ha sido aceptado",True,D,255618.85,0.0
True,True,02,NS,1,00,T001,09,PROYECTOS Y CONSTRUCCIONES LUGANO S.A.C.,Guia de Remisión,SOLES        ,Venta,T001-3,,AN,BAJA,,True,2021-08-20T00:00:00,57453,152429,81,373,0,,3,,,,"El Comprobante  numero T001-3, ha sido aceptado",True,D,0.0,0.0
False,False,02,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-3,,IN,,,False,2021-01-08T00:00:00,56856,149942,73,375,0,,3,,,,,False,H,255618.85,0.0
True,True,02,US,1,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,DOLARES USA         ,Venta,T001-3,,GN,,,True,2026-07-24T00:00:00,57558,157020,87,1,0,,3,,,,,False,D,0.0,0.0
True,True,02,US,1,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,DOLARES USA         ,Venta,T001-4,,GN,,,True,2026-07-25T00:00:00,57558,157022,87,1,0,,4,,,,,False,D,1.18,0.0
False,False,01,NS,8,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,SOLES        ,Traslado sin Descarga,T001-4,,IM,ACEPTADO,,False,2021-08-27T00:00:00,57450,152506,81,373,0,,4,,,,"El Comprobante  numero T001-4, ha sido aceptado",False,O,0.0,0.0
True,True,01,US,1,00,T010,09,EMPRESA PESQUERA ANOR SAC,Guia de Remisión,DOLARES USA         ,Venta,T010-4,,FC,ACEPTADO,,True,2021-01-08T00:00:00,57331,149773,83,375,0,,4,F/ F010-2,,,"El Comprobante  numero T010-4, ha sido aceptado",False,D,22184.0,0.0
True,True,02,NS,1,00,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-4,,FC,ACEPTADO,,True,2019-02-25T00:00:00,56554,136061,30,274,0,,4,F/ F001-32,,,"El Comprobante  numero T001-4, ha sido aceptado",True,D,1506.24,0.0
True,True,02,US,1,00,T001,09,MULTISERVICIOS ADRIAN E.I.R.L.,Guia de Remisión,DOLARES USA         ,Venta,T001-4,,FC,ACEPTADO,,True,2019-09-03T00:00:00,56892,140684,73,296,0,,4,F/ F001-11,,,"El Comprobante  numero T001-4, ha sido aceptado",True,D,2006.0,0.0
False,False,02,US,9,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,DOLARES USA         ,Otros,T001-5,,IM,,,False,2019-03-15T00:00:00,56554,136599,30,274,0,,5,,,,,False,O,0.0,0.0
True,True,01,US,1,00,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Venta,T001-5,,FC,ACEPTADO,,True,2019-09-13T00:00:00,56918,141000,73,296,0,,5,F/ F001-12,,,"El Comprobante  numero T001-5, ha sido aceptado",True,D,88500.0,0.0
True,True,01,NS,1,00,T001,09,PROYECTOS Y CONSTRUCCIONES LUGANO S.A.C.,Guia de Remisión,SOLES        ,Venta,T001-5,,FC,ACEPTADO,,True,2021-08-28T00:00:00,57453,152538,81,373,0,17,5,F/ F001-86,,,"El Comprobante  numero T001-5, ha sido aceptado",False,D,1500.02,0.0
False,False,01,US,9,,T010,09,EMPRESA PESQUERA ANOR SAC,Guia de Remisión,DOLARES USA         ,Otros,T010-5,,IM,ACEPTADO,,False,2021-03-25T00:00:00,57331,150801,83,375,0,,5,,,,"El Comprobante  numero T010-5, ha sido aceptado",False,O,0.0,0.0
True,True,02,US,1,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,DOLARES USA         ,Venta,T001-5,,GN,,,True,2026-07-26T00:00:00,57558,157023,87,1,0,,5,,,,,False,D,0.0,0.0
True,True,02,US,1,,T001,09,RIOS ROSALES CARLOS,Guia de Remisión,DOLARES USA         ,Venta,T001-6,,GN,,,True,2026-08-03T00:00:00,57558,157028,87,1,0,,6,,,,,False,D,0.0,0.0
False,False,02,US,9,,T010,09,AUSTRAL GROUP S.A.A,Guia de Remisión,DOLARES USA         ,Otros,T010-6,,IM,ACEPTADO,,False,2021-09-28T00:00:00,56967,152892,83,375,0,,6,,,,"El Comprobante  numero T010-6, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,12,T001,09,TRANSPORTES AMAZONICOS DE TURISMO S.A.,Guia de Remisión,DOLARES USA         ,Venta,T001-6,,FC,ACEPTADO,,True,2019-09-27T00:00:00,56929,141378,72,296,0,,6,F/ F001-27,,,"El Comprobante  numero T001-6, ha sido aceptado",True,D,1273.86,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-6,,FC,ACEPTADO,,True,2019-04-12T00:00:00,56554,137224,30,274,0,,6,F/ F001-59,,,"El Comprobante  numero T001-6, ha sido aceptado",True,D,1506.24,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-7,,FC,ACEPTADO,,True,2019-04-25T00:00:00,56554,137459,30,274,0,,7,F/ F001-68,,,"El Comprobante  numero T001-7, ha sido aceptado",True,D,3766.42,0.0
False,False,02,US,9,,T001,09,CONSTRUCTORA Y ABASTECEDORA DE SERVICIOS FLUVIALES ATLANTIC S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-7,,IM,ACEPTADO,,False,2019-10-02T00:00:00,56890,141553,73,296,0,,7,,,,"El Comprobante  numero T001-7, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-7,,TR,ACEPTADO,,False,2021-10-19T00:00:00,56856,153095,83,375,0,,7,,,,"El Comprobante  numero T010-7, ha sido aceptado",True,D,3181.7,0.0
False,False,02,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-7,,IN,,,False,2021-10-19T00:00:00,56856,153124,72,375,0,,7,,,,,False,H,3181.7,0.0
False,False,02,US,9,,T001,09,DISTRIBUIDORA DIESEL CALLAO S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-8,,AN,ACEPTADO,,False,2019-10-04T00:00:00,56947,141588,72,296,0,,8,,,,"El Comprobante  numero T001-8, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-8,,FC,ACEPTADO,,True,2019-04-29T00:00:00,56539,137520,30,274,0,,8,F/ F001-73,,,"El Comprobante  numero T001-8, ha sido aceptado",True,D,645.2,0.0
False,False,01,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-8,,TR,ACEPTADO,,False,2022-01-13T00:00:00,56856,153273,83,375,0,,8,,,,"El Comprobante  numero T010-8, ha sido aceptado",False,D,0.02,0.0
False,False,01,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-8,,IN,,,False,2022-01-13T00:00:00,56856,153274,72,375,0,,8,,,,,False,H,0.02,0.0
False,False,02,US,9,,T010,09,AUSTRAL GROUP S.A.A,Guia de Remisión,DOLARES USA         ,Otros,T010-9,,IM,ACEPTADO,,False,2022-05-19T00:00:00,56967,153395,83,375,0,,9,,,,"El Comprobante  numero T010-9, ha sido aceptado",True,O,100467.06,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-9,,FC,ACEPTADO,,True,2019-04-30T00:00:00,56554,137605,30,274,0,,9,F/ F001-74,,,"El Comprobante  numero T001-9, ha sido aceptado",True,D,2389.31,0.0
False,False,02,US,9,,T001,09,DISTRIBUIDORA DIESEL CALLAO S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-9,,IM,ACEPTADO,,False,2019-10-04T00:00:00,56947,141602,72,296,0,,9,,,,"El Comprobante  numero T001-9, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,15,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-10,,FC,ACEPTADO,,True,2019-10-10T00:00:00,56819,141702,73,296,0,,10,F/ F001-17,,,"El Comprobante  numero T001-10, ha sido aceptado",True,D,81913.88,0.0
True,True,02,US,1,,T001,09,TRANSPORTES AMAZONICOS DE TURISMO,Guia de Remisión,DOLARES USA         ,Venta,T001-10,,FC,ACEPTADO,,True,2019-05-07T00:00:00,56538,137810,31,274,0,,10,F/ F001-80,,,"El Comprobante  numero T001-10, ha sido aceptado",True,D,98000.0,0.0
False,False,01,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-10,,IN,,,False,2022-05-23T00:00:00,56856,153410,72,375,0,,10,,,,,False,H,1.0,0.0
False,False,01,US,6,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Transferencia entre Almacenes,T010-10,,TR,ACEPTADO,,False,2022-05-23T00:00:00,56856,153402,83,375,0,,10,,,,"El Comprobante  numero T010-10, ha sido aceptado",True,D,1.0,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-11,,IM,ACEPTADO,,False,2022-09-19T00:00:00,57372,153577,83,375,0,,11,,,,"El Comprobante  numero T010-11, ha sido aceptado",True,O,0.0,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-11,,FC,ACEPTADO,,True,2019-05-10T00:00:00,56554,137896,30,274,0,,11,F/ F001-83,,,"El Comprobante  numero T001-11, ha sido aceptado",True,D,2389.31,0.0
True,True,02,US,1,15,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-11,,FC,ACEPTADO,,True,2019-10-10T00:00:00,56819,141703,73,296,0,,11,F/ F001-18,,,"El Comprobante  numero T001-11, ha sido aceptado",True,D,74654.69,0.0
True,True,02,US,1,15,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-12,,FC,ACEPTADO,,True,2019-10-10T00:00:00,56819,141704,73,296,0,,12,F/ F001-19,,,"El Comprobante  numero T001-12, ha sido aceptado",True,D,81913.88,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-12,,FC,ACEPTADO,,True,2019-05-10T00:00:00,56554,137897,30,274,0,,12,F/ F001-84,,,"El Comprobante  numero T001-12, ha sido aceptado",True,D,2389.31,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-12,,IM,ACEPTADO,,False,2022-09-20T00:00:00,57372,153578,83,375,0,,12,,,,"El Comprobante  numero T010-12, ha sido aceptado",True,O,0.0,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-13,,IM,ACEPTADO,,False,2022-09-20T00:00:00,57372,153581,83,375,0,,13,,,,"El Comprobante  numero T010-13, ha sido aceptado",True,O,0.0,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-13,,FC,ACEPTADO,,True,2019-05-10T00:00:00,56554,137899,30,274,0,,13,F/ F001-85,,,"El Comprobante  numero T001-13, ha sido aceptado",True,D,2389.31,0.0
True,True,02,US,1,15,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-13,,FC,ACEPTADO,,True,2019-10-10T00:00:00,56819,141705,73,296,0,,13,F/ F001-20,,,"El Comprobante  numero T001-13, ha sido aceptado",True,D,74654.69,0.0
True,True,02,US,1,01,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-14,,FC,ACEPTADO,,True,2019-10-17T00:00:00,56819,141907,73,296,0,,14,F/ F001-21,,,"El Comprobante  numero T001-14, ha sido aceptado",True,D,10190.9,0.0
False,False,02,US,9,,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C,Guia de Remisión,DOLARES USA         ,Otros,T001-14,,AN,ACEPTADO,,False,2019-05-14T00:00:00,56574,137981,30,274,0,,14,,,,"El Comprobante  numero T001-14, ha sido aceptado",True,O,0.0,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-14,,IM,ACEPTADO,,False,2022-09-22T00:00:00,57372,153585,83,375,0,,14,,,,"El Comprobante  numero T010-14, ha sido aceptado",False,O,0.0,0.0
False,False,01,US,9,,T010,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T010-15,,IM,ACEPTADO,,False,2022-09-22T00:00:00,56972,153586,83,375,0,,15,,,,"El Comprobante  numero T010-15, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,4,,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C,Guia de Remisión,DOLARES USA         ,Garantia,T001-15,,IM,ACEPTADO,,True,2019-05-27T00:00:00,56574,138291,30,274,0,,15,,,,"El Comprobante  numero T001-15, ha sido aceptado",True,D,0.0,0.0
True,True,02,US,1,04,T001,09,SALHUANA PAREDES CARLOS EDUARDO,Guia de Remisión,DOLARES USA         ,Venta,T001-15,,FC,ACEPTADO,,True,2019-10-25T00:00:00,57028,142105,80,296,0,,15,F/ F001-40,,,"El Comprobante  numero T001-15, ha sido aceptado",True,D,2912.97,0.0
True,True,01,US,1,04,T001,09,SALHUANA PAREDES CARLOS EDUARDO,Guia de Remisión,DOLARES USA         ,Venta,T001-16,,FC,ACEPTADO,,True,2019-10-25T00:00:00,57028,142109,80,296,0,,16,F/ F001-41,,,"El Comprobante  numero T001-16, ha sido aceptado",True,D,1536.58,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-16,,FC,ACEPTADO,,True,2019-05-28T00:00:00,56554,138315,75,274,0,,16,F/ F001-127,,,"El Comprobante  numero T001-16, ha sido aceptado",True,D,32320.58,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-16,,IM,ACEPTADO,,False,2022-09-22T00:00:00,57372,153587,83,375,0,,16,,,,"El Comprobante  numero T010-16, ha sido aceptado",True,O,0.0,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-17,,IM,ACEPTADO,,False,2022-09-22T00:00:00,57372,153589,83,375,0,,17,,,,"El Comprobante  numero T010-17, ha sido aceptado",True,O,0.0,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-17,,FC,ACEPTADO,,True,2019-05-28T00:00:00,56554,138338,75,274,0,,17,F/ F001-128,,,"El Comprobante  numero T001-17, ha sido aceptado",True,D,4889.51,0.0
True,True,02,US,1,04,T001,09,SALHUANA PAREDES CARLOS EDUARDO,Guia de Remisión,DOLARES USA         ,Venta,T001-17,,FC,ACEPTADO,,True,2019-10-25T00:00:00,57028,142111,80,296,0,,17,F/ F001-42,,,"El Comprobante  numero T001-17, ha sido aceptado",True,D,1198.44,0.0
True,True,02,US,1,04,T001,09,SALHUANA PAREDES CARLOS EDUARDO,Guia de Remisión,DOLARES USA         ,Venta,T001-18,,FC,ACEPTADO,,True,2019-10-25T00:00:00,57028,142116,80,296,0,,18,F/ F001-43,,,"El Comprobante  numero T001-18, ha sido aceptado",True,D,1580.72,0.0
True,True,02,US,1,,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C,Guia de Remisión,DOLARES USA         ,Venta,T001-18,,IM,ACEPTADO,,True,2019-05-29T00:00:00,56574,138355,30,274,0,,18,,,,"El Comprobante  numero T001-18, ha sido aceptado",True,D,0.0,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-18,,IM,ACEPTADO,,False,2022-09-27T00:00:00,57372,153600,83,375,0,,18,,,,"El Comprobante  numero T010-18, ha sido aceptado",True,O,0.0,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-19,,IM,ACEPTADO,,False,2022-09-27T00:00:00,57372,153601,83,375,0,,19,,,,"El Comprobante  numero T010-19, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-19,,FC,ACEPTADO,,True,2019-06-07T00:00:00,56539,138626,30,274,0,,19,F/ F001-100,,,"El Comprobante  numero T001-19, ha sido aceptado",True,D,754.0,0.0
False,False,02,US,M,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Muestra,T001-19,,IM,ACEPTADO,,False,2019-11-05T00:00:00,56856,142368,72,296,0,,19,,,,"El Comprobante  numero T001-19, ha sido aceptado",True,O,2611.2,0.0
False,False,02,US,M,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Muestra,T001-20,,IM,ACEPTADO,,False,2019-11-05T00:00:00,56856,142369,73,296,0,,20,,,,"El Comprobante  numero T001-20, ha sido aceptado",True,O,242.72,0.0
True,True,02,NS,1,,T001,09,EMP REG DE SERV  PUBLICO DE ELECTRICIDAD,Guia de Remisión,SOLES        ,Venta,T001-20,,FC,ACEPTADO,,True,2019-06-12T00:00:00,56554,138691,75,274,0,,20,F/ F001-129,,,"El Comprobante  numero T001-20, ha sido aceptado",True,D,799.49,0.0
False,False,01,US,8,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Traslado sin Descarga,T010-20,,IM,ACEPTADO,,False,2022-09-27T00:00:00,57372,153602,83,375,0,,20,,,,"El Comprobante  numero T010-20, ha sido aceptado",False,O,0.0,0.0
False,False,01,US,9,,T010,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T010-21,,IM,ACEPTADO,,False,2022-09-27T00:00:00,56972,153603,83,375,0,,21,,,,"El Comprobante  numero T010-21, ha sido aceptado",False,O,0.0,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-21,,FC,ACEPTADO,,True,2019-06-13T00:00:00,56539,138707,30,274,0,,21,F/ F001-101,,,"El Comprobante  numero T001-21, ha sido aceptado",True,D,828.76,0.0
True,True,02,US,1,04,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-21,,FC,ACEPTADO,,True,2019-11-07T00:00:00,56819,142432,73,296,0,,21,F/ F001-34,,,"El Comprobante  numero T001-21, ha sido aceptado",True,D,505134.4,0.0
True,True,02,US,1,00,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-22,,FC,ACEPTADO,,True,2019-11-11T00:00:00,56819,142505,73,296,0,,22,F/ F001-33,,,"El Comprobante  numero T001-22, ha sido aceptado",True,D,136671.47,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-22,,FC,ACEPTADO,,True,2019-06-13T00:00:00,56539,138710,30,274,0,,22,F/ F001-102,,,"El Comprobante  numero T001-22, ha sido aceptado",True,D,48193.02,0.0
False,False,01,US,9,,T010,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T010-22,,IM,ACEPTADO,,False,2022-10-12T00:00:00,56972,153628,83,375,0,,22,,,,"El Comprobante  numero T010-22, ha sido aceptado",False,O,0.0,0.0
False,False,01,US,9,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Otros,T010-23,,IM,,,False,2022-10-17T00:00:00,57372,153634,83,375,0,,23,,,,,False,O,0.0,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-23,,FC,ACEPTADO,,True,2019-06-14T00:00:00,56539,138755,30,274,0,,23,F/ F001-103,,,"El Comprobante  numero T001-23, ha sido aceptado",True,D,1811.51,0.0
True,True,02,US,1,00,T001,09,TRANSPORTES AMAZONICOS DE TURISMO S.A.,Guia de Remisión,DOLARES USA         ,Venta,T001-23,,FC,ACEPTADO,,True,2019-11-19T00:00:00,56929,142745,72,296,0,,23,F/ F001-39,,,"El Comprobante  numero T001-23, ha sido aceptado",True,D,1889.36,0.0
True,True,02,US,1,00,T001,09,DISTRIBUCIONES DIESEL PERU S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-24,,FC,ACEPTADO,,True,2019-11-21T00:00:00,56819,142816,73,296,0,,24,F/ F001-35,,,"El Comprobante  numero T001-24, ha sido aceptado",True,D,47746.03,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-24,,FC,ACEPTADO,,True,2019-06-14T00:00:00,56539,138756,30,274,0,,24,F/ F001-104,,,"El Comprobante  numero T001-24, ha sido aceptado",True,D,2845.93,0.0
False,False,02,US,9,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Otros,T010-24,,IM,ACEPTADO,,False,2022-10-17T00:00:00,57372,153635,83,375,0,,24,,,,"El Comprobante  numero T010-24, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T010,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Otros,T010-25,,IM,ACEPTADO,,False,2022-10-17T00:00:00,57372,153636,83,375,0,,25,,,,"El Comprobante  numero T010-25, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,,T001,09,CONSORCIO FLUVIAL DEL AMAZONAS,Guia de Remisión,DOLARES USA         ,Venta,T001-25,,FC,ACEPTADO,,True,2019-06-14T00:00:00,56539,138757,30,274,0,,25,F/ F001-105,,,"El Comprobante  numero T001-25, ha sido aceptado",True,D,7034.04,0.0
